id,viewCount,likeCount,favoriteCount,commentCount,title,publishedAt,accessDate,concertType,artist,concertNumber,artistFollower
jxIK19PQngA,93499,2019,0,111,&More (Chill Moody & Donn T): NPR Music Tiny Desk Concert,2019-04-01,2025-06-06,N,&More (Chill Moody & Donn T),1,327
tVdp-IcRyYg,570871,23004,0,386,.idk. & Sector 202: Tiny Desk Concert,2025-03-11,2025-06-06,N,.idk. & Sector 202,1,224000
MgTDLlDY_yY,2271560,69569,0,6406,311: Tiny Desk Concert,2024-03-11,2025-06-06,N,311,1,297000
5SVP6oxjWZk,341764,9865,0,597,47SOUL: NPR Music Tiny Desk Concert,2019-09-02,2025-06-06,N,47SOUL,1,145000
nbt-fm5DcQ0,1009319,23568,0,1134,A-WA: NPR Music Tiny Desk Concert,2019-09-09,2025-06-06,N,A-WA,1,79100
sdaOtnuw-Ew,482760,17605,0,976,ADG7: Tiny Desk Concert,2022-08-19,2025-06-06,N,ADG7,1,24200
gUd7z9g8vGY,130378,2933,0,212,AHI: NPR Music Tiny Desk Concert,2018-01-23,2025-06-06,N,AHI,1,66300
9Oy3pyPxRo0,225023,6338,0,288,ALA.NI: NPR Music Tiny Desk Concert,2017-08-21,2025-06-06,N,ALA.NI,1,7000
9ynfNPodJIk,112863,4298,0,212,ARTEMIS: Tiny Desk Concert,2025-05-21,2025-06-06,N,ARTEMIS,1,35700
YSrJ4amfO84,124565,1997,0,134,Aaron Lee Tasjan: NPR Music Tiny Desk Concert,2019-01-21,2025-06-06,N,Aaron Lee Tasjan,1,1870
KgDPEW_ypj8,1149318,45705,0,3045,Ab-Soul: Tiny Desk Concert,2023-02-23,2025-06-06,N,Ab-Soul,1,77800
GhY31ngpnWg,147384,6289,0,291,Abel Selaocoe: Tiny Desk Concert,2025-03-03,2025-06-06,N,Abel Selaocoe,1,10000
oj_WIqZc9KA,127793,1604,0,69,Abigail Washburn: NPR Music Tiny Desk Concert,2011-01-13,2025-06-06,N,Abigail Washburn,1,2030
CUN8pdgA0m8,6629915,152451,0,7355,Action Bronson: Tiny Desk Concert,2023-08-08,2025-06-06,N,Action Bronson,1,989000
1tKE6A3uA64,342408,12631,0,635,Adam Blackstone: Tiny Desk Concert,2023-06-16,2025-06-06,N,Adam Blackstone,1,4030
NIsUeV_zmA0,69956,806,0,40,Adam Torres: NPR Music Tiny Desk Concert,2016-11-18,2025-06-06,N,Adam Torres,1,767
XfzpYcwiUrA,41286790,437683,0,13193,Adele: NPR Music Tiny Desk Concert,2011-02-14,2025-06-06,N,Adele,1,32600000
LaCjgtH4zac,181633,2477,0,198,Adia Victoria: NPR Music Tiny Desk Concert,2016-06-30,2025-06-06,N,Adia Victoria,1,7990
PF0yNKroigk,144077,2094,0,75,Afro Blue: NPR Music Tiny Desk Concert,2014-01-13,2025-06-06,N,Afro Blue,1,112000
PwEFg6xEVR8,277648,2620,0,146,Ages And Ages: NPR Music Tiny Desk Concert,2014-05-20,2025-06-06,N,Ages And Ages,1,13100
MAqIrCjOxws,469405,12425,0,306,Agnes Obel: NPR Music Tiny Desk Concert,2017-02-22,2025-06-06,N,Agnes Obel,1,447000
XgYT7zB3w5M,766746,10257,0,621,Aimee Mann: NPR Music Tiny Desk Concert,2017-05-15,2025-06-06,N,Aimee Mann,1,34300
_Y-X9CpSiQ0,229492,7579,0,299,Aja Monet: Tiny Desk Concert,2023-12-01,2025-06-06,N,Aja Monet,1,4580
cMW779WaDXs,212829,4278,0,289,Alana Springsteen: Tiny Desk Concert,2024-08-05,2025-06-06,N,Alana Springsteen,1,62000
kc2i9pwSSqE,513310,7148,0,283,Albin Lee Meldau: NPR Music Tiny Desk Concert,2017-08-04,2025-06-06,N,Albin Lee Meldau,1,28400
U6ToeaeuOQo,901872,16022,0,1046,Aldous Harding: NPR Music Tiny Desk Concert,2017-08-09,2025-06-06,N,Aldous Harding,1,77300
XG_o-sGQ3xo,21159,973,0,14,Alec Ounsworth: NPR Music Tiny Desk Concert,2010-03-12,2025-06-06,N,Alec Ounsworth,1,8030
YxUaLKJ_978,121360,1629,0,123,Alejandro Escovedo: NPR Music Tiny Desk Concert,2019-03-27,2025-06-06,N,Alejandro Escovedo,1,2490
bmWBDs-5z3c,53033,1067,0,29,Alessio Bax: NPR Music Tiny Desk Concert,2016-06-17,2025-06-06,N,Alessio Bax,1,590
Y2N9R9CDEZk,298698,6142,0,259,Alex Clare: NPR Music Tiny Desk Concert,2018-03-14,2025-06-06,N,Alex Clare,1,302000
A3ThZptD8WY,473995,10858,0,312,Alex Cuba: Tiny Desk Concert,2023-10-04,2025-06-06,N,Alex Cuba,1,98700
qyPquozbCOQ,1352538,46137,0,1390,Alex G: Tiny Desk Concert,2022-12-07,2025-06-06,N,Alex G,1,360000
qOxCOMtJbC8,602321,14307,0,637,Alfredo Rodríguez Trio: NPR Music Tiny Desk Concert,2018-10-24,2025-06-06,N,Alfredo Rodríguez Trio,1,52300
5xNy40dQCNQ,112611,1784,0,89,Alice Russell: NPR Music Tiny Desk Concert,2013-07-15,2025-06-06,N,Alice Russell,1,15400
-XppUz4SkLk,477363,13496,0,559,Alice Sara Ott: Tiny Desk Concert,2023-07-14,2025-06-06,N,Alice Sara Ott,1,37100
-ZOW4CvYAZ4,346290,8912,0,516,Alice Smith: NPR Music Tiny Desk Concert,2018-02-07,2025-06-06,N,Alice Smith,1,21900
uwUt1fVLb3E,42810496,521993,0,15177,Alicia Keys: NPR Music Tiny Desk Concert,2020-06-22,2025-06-06,N,Alicia Keys,1,6970000
kuiQ5tt0iI8,68698,692,0,56,Alisa Weilerstein: NPR Music Tiny Desk Concert,2010-09-16,2025-06-06,N,Alisa Weilerstein,1,1530
uMEnML6sY5Q,1745815,42890,0,2200,Allen Stone: NPR Music Tiny Desk Concert,2020-04-06,2025-06-06,N,Allen Stone,1,353000
5M9EJOTekxA,95371,1756,0,55,Allison Miller's Boom Tic Boom: Tiny Desk Concert,2012-06-10,2025-06-06,N,Allison Miller's Boom Tic Boom,1,1090
Ffs7szmBmCU,358502,9540,0,548,Allison Russell: Tiny Desk Concert,2022-09-14,2025-06-06,N,Allison Russell,1,24600
ukz2JXvGR5w,205477,2805,0,113,Alpine: NPR Music Tiny Desk Concert,2013-08-12,2025-06-06,N,Alpine,1,2560
daXGLo4aeFQ,232679,4253,0,189,Alsarah & The Nubatones: NPR Music Tiny Desk Concert,2016-12-16,2025-06-06,N,Alsarah & The Nubatones,1,3870
xKdp5uI8AC0,4819069,44353,0,1119,Alt-J: NPR Music Tiny Desk Concert,2012-12-17,2025-06-06,N,Alt-J,1,1210000
RBRQ8vR93_s,639597,19939,0,800,Alvvays: Tiny Desk Concert,2023-12-15,2025-06-06,N,Alvvays,1,134000
gGyP2VGUQMY,616555,30779,0,992,Amaarae: Tiny Desk Concert,2023-06-22,2025-06-06,N,Amaarae,1,423000
hcAKsXR51HQ,340959,6935,0,300,Amadou and Mariam: NPR Music Tiny Desk Concert,2018-01-26,2025-06-06,N,Amadou and Mariam,1,110000
LRix5o2-fiU,156477,3671,0,163,Amanda Palmer And The Grand Theft Orchestra: NPR Music Tiny Desk Concert,2012-10-10,2025-06-06,N,Amanda Palmer And The Grand Theft Orchestra,1,155000
ybBK0N0mCl4,235235,2242,0,115,Amanda Shires: NPR Music Tiny Desk Concert,2011-08-04,2025-06-06,N,Amanda Shires,1,32900
kjJnal0XtN8,297574,13445,0,684,Ambré: Tiny Desk Concert,2023-06-20,2025-06-06,N,Ambré,1,45700
XjCGI4Sgb7k,878206,20171,0,772,American Football: NPR Music Tiny Desk Concert,2019-07-15,2025-06-06,N,American Football,1,42100
l0MqlDbZ_as,8569417,171162,0,3871,Aminé: NPR Music Tiny Desk Concert,2017-11-21,2025-06-06,N,Aminé,1,1960000
j0uhEHIU6Sk,156433,3010,0,340,Among Authors: NPR Music Tiny Desk Concert,2019-08-16,2025-06-06,N,Among Authors,1,393
DcnMDkX1PZg,239550,5174,0,213,Amy Grant: NPR Music Tiny Desk Concert,2018-12-17,2025-06-06,N,Amy Grant,1,247000
jsCO_M0Nnwk,191881,5264,0,223,Ana Tijoux: NPR Music Tiny Desk Concert,2010-08-30,2025-06-06,N,Ana Tijoux,1,120000
5G6q__7jQoU,838926,36237,0,1954,Ana Tijoux: Tiny Desk Concert,2024-05-22,2025-06-06,N,Ana Tijoux,2,120000
Shr47LVcA5I,682764,7735,0,414,Anais Mitchell: NPR Music Tiny Desk Concert,2012-12-07,2025-06-06,N,Anais Mitchell,1,10700
qM1Mtz35bmU,188658,2436,0,160,And The Kids: NPR Music Tiny Desk Concert,2015-06-30,2025-06-06,N,And The Kids,1,644
ferZnZ0_rSM,116381983,1113722,0,26689,Anderson .Paak & The Free Nationals: NPR Music Tiny Desk Concert,2016-08-22,2025-06-06,N,Anderson .Paak & The Free Nationals,1,874000
W3MaEAhXESs,1238206,22762,0,787,Andra Day: NPR Music Tiny Desk Concert,2015-10-13,2025-06-06,N,Andra Day,1,1e+06
HN4Mk3LWWC4,113645,2040,0,114,Andrea Cruz: NPR Music Tiny Desk Concert,2019-04-03,2025-06-06,N,Andrea Cruz,1,2140
