id,viewCount,likeCount,favoriteCount,commentCount,title,publishedAt,accessDate
59eBs8iiLU0,594361,39431,0,4643,E-40: Tiny Desk Concert,2025-06-02T09:00:13Z,2025-06-06
PcPS-21ZVMw,478012,33456,0,2347,"Ruby Ibarra, 2025 Tiny Desk Contest Winner: Tiny Desk Concert",2025-05-29T15:00:42Z,2025-06-06
QKubRtKguv4,18270,282,0,12,Vijay Iyer’s art of listening | Amplify with Lara Downes,2025-05-28T09:00:42Z,2025-06-06
X1bx9_TL20A,877022,44649,0,1589,The Cast of Buena Vista Social Club: Tiny Desk Concert,2025-05-27T09:00:47Z,2025-06-06
9ynfNPodJIk,112863,4298,0,212,ARTEMIS: Tiny Desk Concert,2025-05-21T09:00:30Z,2025-06-06
aR5AU3azhyc,300116,11671,0,499,Death Becomes Her: Tiny Desk Concert,2025-05-19T09:00:03Z,2025-06-06
xbuDoIUMlCs,6994033,267060,0,15145,Carín León: Tiny Desk Concert,2025-05-16T09:01:37Z,2025-06-06
G_-DftINZKg,278998,11536,0,556,Beth Gibbons: Tiny Desk Concert,2025-05-12T09:00:32Z,2025-06-06
T5j8JewmnuE,150728,6004,0,297,Katie Gavin: Tiny Desk Concert,2025-05-09T09:00:45Z,2025-06-06
FsnwgTn3WWc,117461,3807,0,204,Jeff Parker ETA IVtet: Tiny Desk Concert,2025-05-07T09:00:33Z,2025-06-06
g5N9AOfgLZA,246769,6904,0,546,SUNSET BLVD.: Tiny Desk Concert,2025-05-05T09:01:03Z,2025-06-06
pmu2rshSEFg,234267,10885,0,1052,PJ Sin Suela: Tiny Desk Concert,2025-05-01T09:01:13Z,2025-06-06
nMdqe1ODU2M,38009,900,0,94,Meet the 2025 Tiny Desk Contest Community,2025-04-29T09:01:12Z,2025-06-06
rtXMRhAwWVQ,491398,15403,0,598,Madison McFerrin: Tiny Desk Concert,2025-04-28T09:01:12Z,2025-06-06
7bWWVjj-q4k,24447,262,0,21,"Yola’s simple, radical act of walking through her life | Amplify with Lara Downes",2025-04-25T09:00:22Z,2025-06-06
0K8VaXN0mBs,19646,408,0,81,Tiny Desk Contest Top Shelf 2025: Episode 5 with LaRussell,2025-04-24T19:42:31Z,2025-06-06
