id,viewCount,likeCount,favoriteCount,commentCount
59eBs8iiLU0,594361,39431,0,4643
PcPS-21ZVMw,478012,33456,0,2347
QKubRtKguv4,18270,282,0,12
X1bx9_TL20A,877022,44649,0,1589
9ynfNPodJIk,112863,4298,0,212
aR5AU3azhyc,300116,11671,0,499
xbuDoIUMlCs,6994033,267060,0,15145
G_-DftINZKg,278998,11536,0,556
T5j8JewmnuE,150728,6004,0,297
FsnwgTn3WWc,117461,3807,0,204
g5N9AOfgLZA,246769,6904,0,546
pmu2rshSEFg,234267,10885,0,1052
nMdqe1ODU2M,38009,900,0,94
rtXMRhAwWVQ,491398,15403,0,598
7bWWVjj-q4k,24447,262,0,21
0K8VaXN0mBs,19646,408,0,81
yi0PiY1i3XU,2149620,68787,0,3390
KqSYVWHAPQQ,189611,6217,0,360
0ae35GYcJPA,77335,2260,0,95
xblT_i1V4LI,20295,327,0,42
nRQH04NIzhQ,184935,4792,0,355
WGH5zZLsixk,130060,3580,0,311
IJm5sOkFSZ4,271159,11264,0,386
tu6_TRkC7mI,22978,388,0,41
gj1wRZTO2fk,52665,1396,0,32
IiE4e-sD5-g,61937,2009,0,100
qiJXgQsyQ1M,31365,739,0,9
fJmaNOKUK7c,14963,346,0,6
tN_fITfP4gI,36042,642,0,54
Sh4u8Da0F7A,284523,9749,0,360
QyyCKhwXD_E,21108,739,0,4
mdyaygHtRTc,17234,376,0,16
O0DaRe_SIJ4,16301,447,0,8
ouuPSxE1hK4,12824743,517883,0,20773
QWhezn3nB_M,262653,4471,0,347
a5v_MXzVZv4,21854,411,0,53
HiE6v1KLtj4,100210,1856,0,176
ozlaWkrOiZE,2196810,93914,0,6274
kIzhoZAf6QQ,188581,8066,0,918
TCAwpytw3uc,14720,363,0,12
p7E0MD77UJE,14346,250,0,3
F_VmlF66K2E,13769,369,0,6
H-Dvde1mCSI,90004,2974,0,226
QU3z2i9f15w,25795,1197,0,11
WWcZSo4o3yM,29901,563,0,236
1l-xK4pvoKo,15792,582,0,32
LwEg31YXYCc,11872,418,0,12
u4867g-frsI,6539,233,0,4
b6_ldCgncnQ,56266,1282,0,55
OrkRYjkub9A,8130,201,0,2
QrY9ADh6-5g,17725,268,0,9
0K3C8tIf1E4,10571,432,0,13
KJKavRgH48k,90394,1956,0,156
5q8R3NyrHok,6821,148,0,2
jlv4wrfKl4Y,88767,2533,0,127
_udfy_odd6s,7301,331,0,6
Bo7LURW_TpI,11348,310,0,13
fDEduWhjM9E,447769,24221,0,1282
Rlw05_F3qnw,7763,505,0,20
YT6I1VYj0JQ,6437,237,0,9
laYI_s89qO8,6983,260,0,7
IpaJa6UWufs,5581,245,0,6
bFl_sP231wY,862628,21207,0,2078
sfpzUrVR9jY,6865,334,0,1
K1HVz2uqx9k,21056,1090,0,14
H-O2f8vuluY,7317,442,0,34
tVdp-IcRyYg,570871,23004,0,386
VmWdRz09Uzk,6601,315,0,5
Kgw9g2BsnxY,5272,232,0,26
jtRXy0mGtTs,409549,8593,0,460
yjyovHjjyNw,6242,360,0,3
Kwqvp2uGP3w,5663,180,0,2
MQBuO2yWsFQ,456614,11154,0,547
5eGi-Zpbnb4,5869,357,0,7
HNR6aeTnw48,20145,1188,0,19
4op1sLp0YBc,7259,322,0,4
GhY31ngpnWg,147384,6289,0,291
XgVUJ1mXMtk,5322,268,0,3
wpaM9rVxeqQ,13136,1068,0,21
wVbZzgybaJ4,1427990,66923,0,4661
X4dxqM7etto,21837,1777,0,50
9AyvWvWJZdw,18861,1140,0,12
DyFYEsSozpU,6059,324,0,8
FO7bR15Oxi8,6372,342,0,8
5X4z95Fqvf4,132387,4608,0,223
5xsJRz9lCYE,6743,201,0,7
veY4r01ElTE,6754,305,0,7
oW2jcDdfsYw,16963,482,0,9
54WW9tyONBI,14032,1196,0,20
p81Lo8al4Us,14216,780,0,5
jNnsTNZR2bU,2810137,116348,0,4971
DvxN2LXqPfc,117112,4113,0,192
pAyPuL0qk7o,41930,2023,0,40
TVof82wm68A,16406,1115,0,11
cXYgdCXkLMc,916822,41846,0,1283
V-XmoOydD3k,10546,651,0,9
E6-z-Gqd30Q,448456,19087,0,1051
vdph2l0iw74,274220,8161,0,359
yxrzgPsxGOs,16286,1147,0,10
Zx4XtHiY5jI,41403,1483,0,99
l7OtKIZE7tE,380005,11176,0,344
1ul9aWg0AQo,2074730,94207,0,2884
8G6n5fSpm50,18759,425,0,20
GVuVwFPkHw8,13343,515,0,22
tVB6iWTl-Sk,10178,461,0,11
gAY74NyLMGs,647564,16456,0,850
TC46TiIODD4,18110,950,0,15
w5axCGFOXBo,11942,765,0,21
1zdcG5rUY3o,407938,22751,0,907
FSlGrn6NECo,14867,795,0,8
NKnXUuZzgeY,6528,284,0,7
alWbyBjJG38,19903,1187,0,29
N8YJReFOA9w,25796,1985,0,28
bZGRqgwuyWw,13048,718,0,14
pePbXflDyRM,550411,23489,0,2735
uJ3Pusp6R_s,1333812,29052,0,1300
VI0zE4wpbIw,16342,814,0,13
KY-27OC0B_0,133851,4501,0,221
ZHfia_-zFuY,15904,1192,0,26
Y1f0WK9lsb0,1248771,48546,0,6727
Li3Yxe53Lr0,17134,793,0,9
QFGWCRXkWns,206892,7717,0,445
bm-p-3Eh3G4,571695,39151,0,2045
2I4QY9CUrgU,246637,5505,0,327
adJ976uyMsA,28075,790,0,11
I6dQfJwJ5ZA,72740,3550,0,38
F4nMARNX4XM,14901,460,0,12
E_hOAeKxDbM,49944,1998,0,38
t28PQKrx30E,19862,846,0,21
b28VcraZ6f0,14056,587,0,14
3-j-ESaA4hA,13290,474,0,8
FZVc6CiDCTU,15928,576,0,3
K6aa6Oy0Oo0,132523,8164,0,108
zxXfVUa2cDs,76488,2692,0,108
BEoGvTlJMyY,14211416,400572,0,12135
cHkS0uOfx9k,731727,19542,0,0
ps1f7p720FA,729409,14766,0,884
E_qybLHhJjE,11792,388,0,12
yT_CGkyAHmU,491733,25529,0,190
X93mkc56pj8,33007,1700,0,36
4DmIC6ojVh8,404231,34499,0,305
fOAIrUZbOwo,21728395,686801,0,16923
oyt8A5lIjfI,77545,1861,0,17
99raT9A1LW8,393226,5284,0,404
-91vymvIH0c,15790400,685507,0,23218
iandnFsuwkk,12477,508,0,5
5_oZa5200II,70462,1196,0,82
Oxudnq20uRw,519613,11580,0,748
XyyzwrL4msk,124666,2285,0,169
zi_jOYpeCEM,590551,21069,0,1250
4rhGxgLGLqE,42504,2848,0,83
iQTErSrzC64,785762,36423,0,4086
88mdzNcOHj4,409724,8362,0,325
YGugtk_p9yg,19949,638,0,17
wnFQn7GD1rg,359281,12279,0,705
I1sV6JpO5Hw,74024,2786,0,60
1igmZ6F5F-8,35403,1277,0,149
EMLlWQqRHzw,17314,448,0,16
Du6rqlra5vk,14141,492,0,14
_Q8N8a7-Qwk,195812,5798,0,287
IRQR5foSUSI,1223663,45333,0,2458
ZoKYfwTAgqk,25190,1757,0,29
mV5U5gWJSU4,1007991,37804,0,2116
Q-AawhonZws,30922,2035,0,42
w40XbPyotj8,595453,29177,0,2290
MN2lfQDbXE8,21718,793,0,5
q-ne87XKlY0,279010,7075,0,282
ohImLSmx7Wc,83478,1612,0,37
ouDAxot6-CQ,10954,395,0,5
xgjh6zKo1j8,38032,1100,0,74
eHMv0tUe5eE,195602,5288,0,427
bitT2H1_jlc,22111,299,0,23
xJSXjEUnTpQ,21661,609,0,14
6Z1rdfucIUU,260514,11218,0,552
rcJYwZqS9UA,21493,418,0,14
xydiDbp8k58,14128,245,0,9
57H4UBO6B5k,105798,2529,0,127
y38qQRg3UDI,12627112,234091,0,7219
PbM82phaaeg,204310,5905,0,377
x8WTPgeVPjg,870386,32749,0,1067
U0vBoAbZZy0,493097,17716,0,688
PYcn36-k7lw,98308,2780,0,243
BP4THQYgD_Y,80722,3478,0,149
GjZ2XqYzPTI,714749,24769,0,1598
I067BonnW48,3818656,159796,0,3137
s9xYNeiSofM,2047088,59472,0,1596
9kqnsoY94L8,36625765,619361,0,33957
ZVEeAxeyAPU,1565057,63696,0,2253
1yJjALda0X4,420976,16347,0,842
nyed-OqMcbg,25063,423,0,20
vevgI9a18GQ,1247008,36957,0,940
7DSVjIxZBjs,167983,5650,0,244
wC6iA_C_KC8,2255234,60567,0,2420
ZfbX3MAnJUM,3102745,50301,0,1968
1Pt-nLSMONI,1755318,45044,0,1641
X_myO7_7KKk,726382,28092,0,1116
Pu0GsALW1w8,250905,9695,0,426
r952qoBX1ng,68003,1731,0,90
aKVbPsyU1IQ,98788,2996,0,162
cGQMSACSYVA,63034,2103,0,120
0_XdKr7q0r8,45996,1527,0,47
ranwgb7qkNk,110782,2046,0,208
1t7f-5zC99M,20104,283,0,19
3ibSXC3vo8M,937628,15749,0,685
yQ7E1c2ykeM,119766,3758,0,196
Zig0cfRdqsE,5678006,175352,0,14742
