id,viewCount,likeCount,commentCount,durationSeconds,durationMinutes,caption,concertType,artist,concertNumber,age,artistFollower,month,year,season
jxIK19PQngA,93595,2019,111,1122,18.7,false,N,&More (Chill Moody & Donn T),1,2321,327,4,2019,spring
6v9D1nf1p_Y,968250,20540,1048,880,14.67,false,S,'Weird Al' Yankovic,1,1867,2970000,6,2020,summer
tVdp-IcRyYg,581979,23139,394,1562,26.03,false,N,.idk. & Sector 202,1,150,224000,3,2025,spring
3ZLP8QMVse8,910862,16223,827,1277,21.28,false,H,2 Chainz,1,1633,4250000,2,2021,winter
MgTDLlDY_yY,2376111,71458,6544,965,16.08,false,N,311,1,515,297000,3,2024,spring
5SVP6oxjWZk,346373,9977,604,832,13.87,false,N,47SOUL,1,2167,145000,9,2019,autumn
ObD7Qjai55Y,204697,5314,326,1223,20.38,false,H,A Strange Loop,1,1200,965,4,2022,spring
nbt-fm5DcQ0,1021062,23797,1149,885,14.75,false,N,A-WA,1,2160,79100,9,2019,autumn
7OfULrhVASI,138195,5112,296,1032,17.2,true,H,ADG7,1,1288,24400,1,2022,winter
sdaOtnuw-Ew,495421,18024,982,1025,17.08,true,N,ADG7,2,1085,24200,8,2022,summer
gUd7z9g8vGY,130762,2933,212,690,11.5,false,N,AHI,1,2754,66300,1,2018,winter
9Oy3pyPxRo0,225446,6340,288,1108,18.47,false,N,ALA.NI,1,2909,7000,8,2017,summer
IJBwPIls_Go,171958,8338,,1323,22.05,false,N,ANOHNI and the Johnsons,1,22,34600,7,2025,summer
qXibG3pG4zM,61662,1904,68,887,14.78,false,H,ARC Ensemble,1,1185,153,5,2022,spring
9ynfNPodJIk,156041,5108,232,1099,18.32,false,N,ARTEMIS,1,79,35700,5,2025,spring
YSrJ4amfO84,124831,1997,134,869,14.48,false,N,Aaron Lee Tasjan,1,2391,1870,1,2019,winter
KgDPEW_ypj8,1193016,46568,3104,1206,20.1,false,N,Ab-Soul,1,897,77800,2,2023,winter
ICBtVbDVinw,39343,983,62,789,13.15,false,S,Abaji,1,1923,1260,5,2020,spring
L5i4stj4M30,406365,17454,570,792,13.2,false,H,Abdullah Ibrahim,1,1248,6280,3,2022,spring
GhY31ngpnWg,163760,6907,320,1018,16.97,true,N,Abel Selaocoe,1,158,10000,3,2025,spring
oj_WIqZc9KA,128197,1612,69,1096,18.27,false,N,Abigail Washburn,1,5321,2030,1,2011,winter
CUN8pdgA0m8,6913050,156172,7470,1673,27.88,false,N,Action Bronson,1,731,989000,8,2023,summer
e9hZFjbOsWg,117454,4927,263,943,15.72,false,H,Active Child,1,1675,25200,1,2021,winter
JgOWuWchf88,82668,1771,88,996,16.6,false,H,Ada Lea,1,1172,1210000,5,2022,spring
4bE2gmxeeQo,39265,448,31,1048,17.47,false,S,Adam Arcuragi,1,1944,71,4,2020,spring
1tKE6A3uA64,345828,12694,637,1469,24.48,false,N,Adam Blackstone,1,784,4030,6,2023,summer
NIsUeV_zmA0,70085,808,40,1013,16.88,false,N,Adam Torres,1,3185,767,11,2016,autumn
r-gkSte4QdA,1118247,26198,1037,900,15,false,H,Adekunle Gold,1,1163,945000,6,2022,summer
XfzpYcwiUrA,41873837,444304,13353,875,14.58,false,N,Adele,1,5289,32600000,2,2011,winter
LaCjgtH4zac,182072,2489,199,661,11.02,false,N,Adia Victoria,1,3326,7990,6,2016,summer
-dW6ksJVWXY,38237,1321,84,950,15.83,false,H,Aditya Prakash Ensemble,1,1658,2560,1,2021,winter
TKcQyUszdhw,1595329,45203,1342,1030,17.17,false,H,Adrianne Lenker,1,1724,171000,11,2020,autumn
PF0yNKroigk,144467,2097,77,622,10.37,false,N,Afro Blue,1,4225,112000,1,2014,winter
PwEFg6xEVR8,278137,2624,144,912,15.2,false,N,Ages And Ages,1,4098,13100,5,2014,spring
MAqIrCjOxws,475607,12574,309,794,13.23,false,N,Agnes Obel,1,3089,447000,2,2017,winter
XgYT7zB3w5M,775539,10387,628,918,15.3,false,N,Aimee Mann,1,3007,34300,5,2017,spring
_Y-X9CpSiQ0,236781,7810,302,1693,28.22,false,N,Aja Monet,1,616,4580,12,2023,winter
mLeFgJ9JJHY,92297,2285,142,1078,17.97,true,H,Al Bilali Soudan,1,1287,10800,1,2022,winter
cMW779WaDXs,218042,4332,295,1117,18.62,false,N,Alana Springsteen,1,368,62000,8,2024,summer
kc2i9pwSSqE,515604,7165,285,782,13.03,false,N,Albin Lee Meldau,1,2926,28400,8,2017,summer
U6ToeaeuOQo,910967,16171,1038,789,13.15,false,N,Aldous Harding,1,2921,77300,8,2017,summer
XG_o-sGQ3xo,21375,979,15,806,13.43,false,N,Alec Ounsworth,1,5628,8030,3,2010,spring
YxUaLKJ_978,122625,1643,123,717,11.95,false,N,Alejandro Escovedo,1,2326,2490,3,2019,spring
bmWBDs-5z3c,53336,1071,29,730,12.17,false,N,Alessio Bax,1,3339,590,6,2016,summer
