id,viewCount,likeCount,commentCount,concertType,artist,concertNumber,age,accessDate,durationSeconds,durationMinutes,caption,artistFollower,month,year,season
jxIK19PQngA,93499,2019,111,N,&More (Chill Moody & Donn T),1,2258,2025-07-21,1122,18.7,false,327,4,2019,spring
6v9D1nf1p_Y,960645,20378,1039,S,'Weird Al' Yankovic,1,1804,2025-07-21,880,14.67,false,2970000,6,2020,summer
tVdp-IcRyYg,570871,23004,386,N,.idk. & Sector 202,1,87,2025-07-21,1562,26.03,false,224000,3,2025,spring
3ZLP8QMVse8,900855,16057,825,H,2 Chainz,1,1570,2025-07-21,1277,21.28,false,4250000,2,2021,winter
MgTDLlDY_yY,2271560,69569,6406,N,311,1,452,2025-07-21,965,16.08,false,297000,3,2024,spring
5SVP6oxjWZk,341764,9865,597,N,47SOUL,1,2104,2025-07-21,832,13.87,false,145000,9,2019,autumn
ObD7Qjai55Y,203050,5285,328,H,A Strange Loop,1,1137,2025-07-21,1223,20.38,false,965,4,2022,spring
nbt-fm5DcQ0,1009319,23568,1134,N,A-WA,1,2097,2025-07-21,885,14.75,false,79100,9,2019,autumn
7OfULrhVASI,136445,5054,298,H,ADG7,1,1225,2025-07-21,1032,17.2,true,24400,1,2022,winter
sdaOtnuw-Ew,482760,17605,976,N,ADG7,2,1022,2025-07-21,1025,17.08,true,24200,8,2022,summer
gUd7z9g8vGY,130378,2933,212,N,AHI,1,2691,2025-07-21,690,11.5,false,66300,1,2018,winter
9Oy3pyPxRo0,225023,6338,288,N,ALA.NI,1,2846,2025-07-21,1108,18.47,false,7000,8,2017,summer
qXibG3pG4zM,61458,1903,68,H,ARC Ensemble,1,1122,2025-07-21,887,14.78,false,153,5,2022,spring
9ynfNPodJIk,112863,4298,212,N,ARTEMIS,1,16,2025-07-21,1099,18.32,false,35700,5,2025,spring
YSrJ4amfO84,124565,1997,134,N,Aaron Lee Tasjan,1,2328,2025-07-21,869,14.48,false,1870,1,2019,winter
KgDPEW_ypj8,1149318,45705,3045,N,Ab-Soul,1,834,2025-07-21,1206,20.1,false,77800,2,2023,winter
ICBtVbDVinw,39195,983,62,S,Abaji,1,1860,2025-07-21,789,13.15,false,1260,5,2020,spring
L5i4stj4M30,401767,17384,565,H,Abdullah Ibrahim,1,1185,2025-07-21,792,13.2,false,6280,3,2022,spring
GhY31ngpnWg,147384,6289,291,N,Abel Selaocoe,1,95,2025-07-21,1018,16.97,true,10000,3,2025,spring
oj_WIqZc9KA,127793,1604,69,N,Abigail Washburn,1,5258,2025-07-21,1096,18.27,false,2030,1,2011,winter
CUN8pdgA0m8,6629915,152451,7355,N,Action Bronson,1,668,2025-07-21,1673,27.88,false,989000,8,2023,summer
e9hZFjbOsWg,116787,4901,262,H,Active Child,1,1612,2025-07-21,943,15.72,false,25200,1,2021,winter
JgOWuWchf88,82353,1767,88,H,Ada Lea,1,1109,2025-07-21,996,16.6,false,1210000,5,2022,spring
4bE2gmxeeQo,38434,445,31,S,Adam Arcuragi,1,1881,2025-07-21,1048,17.47,false,71,4,2020,spring
1tKE6A3uA64,342408,12631,635,N,Adam Blackstone,1,721,2025-07-21,1469,24.48,false,4030,6,2023,summer
NIsUeV_zmA0,69956,806,40,N,Adam Torres,1,3122,2025-07-21,1013,16.88,false,767,11,2016,autumn
r-gkSte4QdA,1087891,25936,1033,H,Adekunle Gold,1,1100,2025-07-21,900,15,false,945000,6,2022,summer
XfzpYcwiUrA,41286790,437683,13193,N,Adele,1,5226,2025-07-21,875,14.58,false,32600000,2,2011,winter
LaCjgtH4zac,181633,2477,198,N,Adia Victoria,1,3263,2025-07-21,661,11.02,false,7990,6,2016,summer
-dW6ksJVWXY,37975,1311,84,H,Aditya Prakash Ensemble,1,1595,2025-07-21,950,15.83,false,2560,1,2021,winter
TKcQyUszdhw,1538888,43826,1313,H,Adrianne Lenker,1,1661,2025-07-21,1030,17.17,false,171000,11,2020,autumn
PF0yNKroigk,144077,2094,75,N,Afro Blue,1,4162,2025-07-21,622,10.37,false,112000,1,2014,winter
PwEFg6xEVR8,277648,2620,146,N,Ages And Ages,1,4035,2025-07-21,912,15.2,false,13100,5,2014,spring
MAqIrCjOxws,469405,12425,306,N,Agnes Obel,1,3026,2025-07-21,794,13.23,false,447000,2,2017,winter
XgYT7zB3w5M,766746,10257,621,N,Aimee Mann,1,2944,2025-07-21,918,15.3,false,34300,5,2017,spring
_Y-X9CpSiQ0,229492,7579,299,N,Aja Monet,1,553,2025-07-21,1693,28.22,false,4580,12,2023,winter
mLeFgJ9JJHY,90028,2269,141,H,Al Bilali Soudan,1,1224,2025-07-21,1078,17.97,true,10800,1,2022,winter
cMW779WaDXs,212829,4278,289,N,Alana Springsteen,1,305,2025-07-21,1117,18.62,false,62000,8,2024,summer
kc2i9pwSSqE,513310,7148,283,N,Albin Lee Meldau,1,2863,2025-07-21,782,13.03,false,28400,8,2017,summer
U6ToeaeuOQo,901872,16022,1046,N,Aldous Harding,1,2858,2025-07-21,789,13.15,false,77300,8,2017,summer
XG_o-sGQ3xo,21159,973,14,N,Alec Ounsworth,1,5565,2025-07-21,806,13.43,false,8030,3,2010,spring
YxUaLKJ_978,121360,1629,123,N,Alejandro Escovedo,1,2263,2025-07-21,717,11.95,false,2490,3,2019,spring
bmWBDs-5z3c,53033,1067,29,N,Alessio Bax,1,3276,2025-07-21,730,12.17,false,590,6,2016,summer
Y2N9R9CDEZk,298698,6142,259,N,Alex Clare,1,2641,2025-07-21,1117,18.62,false,302000,3,2018,spring
A3ThZptD8WY,473995,10858,312,N,Alex Cuba,1,611,2025-07-21,1087,18.12,true,98700,10,2023,autumn
qyPquozbCOQ,1352538,46137,1390,N,Alex G,1,912,2025-07-21,842,14.03,false,360000,12,2022,winter
TIWWV4fLBjw,551602,30131,2197,H,Alex Isley,1,1848,2025-07-21,1089,18.15,false,99100,5,2020,spring
qOxCOMtJbC8,602321,14307,637,N,Alfredo Rodríguez Trio,1,2417,2025-07-21,1125,18.75,false,52300,10,2018,autumn
5xNy40dQCNQ,112611,1784,89,N,Alice Russell,1,4344,2025-07-21,829,13.82,false,15400,7,2013,summer
-XppUz4SkLk,477363,13496,559,N,Alice Sara Ott,1,693,2025-07-21,1105,18.42,false,37100,7,2023,summer
-ZOW4CvYAZ4,346290,8912,516,N,Alice Smith,1,2676,2025-07-21,879,14.65,false,21900,2,2018,winter
uwUt1fVLb3E,42810496,521993,15177,N,Alicia Keys,1,1810,2025-07-21,1667,27.78,false,6970000,6,2020,summer
sN58k8tSFXg,526193,14109,556,S,"Alisa Amador, 2022 Tiny Desk Contest Winner",1,1102,2025-07-21,1241,20.68,true,3990,5,2022,spring
kuiQ5tt0iI8,68698,692,56,N,Alisa Weilerstein,1,5377,2025-07-21,961,16.02,false,1530,9,2010,autumn
uMEnML6sY5Q,1745815,42890,2200,N,Allen Stone,1,1887,2025-07-21,1214,20.23,false,353000,4,2020,spring
5M9EJOTekxA,95371,1756,55,N,Allison Miller's Boom Tic Boom,1,4744,2025-07-21,1067,17.78,false,1090,6,2012,summer
Ffs7szmBmCU,358502,9540,548,N,Allison Russell,1,996,2025-07-21,1369,22.82,false,24600,9,2022,autumn
ukz2JXvGR5w,205477,2805,113,N,Alpine,1,4316,2025-07-21,1040,17.33,false,2560,8,2013,summer
daXGLo4aeFQ,232679,4253,189,N,Alsarah & The Nubatones,1,3094,2025-07-21,683,11.38,false,3870,12,2016,winter
xKdp5uI8AC0,4819069,44353,1119,N,Alt-J,1,4554,2025-07-21,798,13.3,false,1210000,12,2012,winter
RBRQ8vR93_s,639597,19939,800,N,Alvvays,1,539,2025-07-21,763,12.72,false,134000,12,2023,winter
gGyP2VGUQMY,616555,30779,992,N,Amaarae,1,715,2025-07-21,1312,21.87,false,423000,6,2023,summer
hcAKsXR51HQ,340959,6935,300,N,Amadou and Mariam,1,2688,2025-07-21,669,11.15,false,110000,1,2018,winter
LRix5o2-fiU,156477,3671,163,N,Amanda Palmer And The Grand Theft Orchestra,1,4622,2025-07-21,1012,16.87,false,155000,10,2012,autumn
ybBK0N0mCl4,235235,2242,115,N,Amanda Shires,1,5055,2025-07-21,716,11.93,false,32900,8,2011,summer
