id,viewCount,likeCount,favoriteCount,commentCount,accessDate,concertType,artist,concertNumber,artistFollower,month,year,season
jxIK19PQngA,93499,2019,0,111,2025-06-06,N,&More (Chill Moody & Donn T),1,327,4,2019,spring
tVdp-IcRyYg,570871,23004,0,386,2025-06-06,N,.idk. & Sector 202,1,224000,3,2025,spring
MgTDLlDY_yY,2271560,69569,0,6406,2025-06-06,N,311,1,297000,3,2024,spring
5SVP6oxjWZk,341764,9865,0,597,2025-06-06,N,47SOUL,1,145000,9,2019,autumn
nbt-fm5DcQ0,1009319,23568,0,1134,2025-06-06,N,A-WA,1,1240000,9,2019,autumn
sdaOtnuw-Ew,482760,17605,0,976,2025-06-06,N,ADG7,1,24200,8,2022,summer
gUd7z9g8vGY,130378,2933,0,212,2025-06-06,N,AHI,1,66300,1,2018,winter
9Oy3pyPxRo0,225023,6338,0,288,2025-06-06,N,ALA.NI,1,2470000,8,2017,summer
9ynfNPodJIk,112863,4298,0,212,2025-06-06,N,ARTEMIS,1,35700,5,2025,spring
YSrJ4amfO84,124565,1997,0,134,2025-06-06,N,Aaron Lee Tasjan,1,1870,1,2019,winter
KgDPEW_ypj8,1149318,45705,0,3045,2025-06-06,N,Ab-Soul,1,77800,2,2023,winter
GhY31ngpnWg,147384,6289,0,291,2025-06-06,N,Abel Selaocoe,1,10000,3,2025,spring
oj_WIqZc9KA,127793,1604,0,69,2025-06-06,N,Abigail Washburn,1,2030,1,2011,winter
CUN8pdgA0m8,6629915,152451,0,7355,2025-06-06,N,Action Bronson,1,989000,8,2023,summer
1tKE6A3uA64,342408,12631,0,635,2025-06-06,N,Adam Blackstone,1,4030,6,2023,summer
NIsUeV_zmA0,69956,806,0,40,2025-06-06,N,Adam Torres,1,767,11,2016,autumn
XfzpYcwiUrA,41286790,437683,0,13193,2025-06-06,N,Adele,1,32600000,2,2011,winter
LaCjgtH4zac,181633,2477,0,198,2025-06-06,N,Adia Victoria,1,7990,6,2016,summer
PF0yNKroigk,144077,2094,0,75,2025-06-06,N,Afro Blue,1,112000,1,2014,winter
PwEFg6xEVR8,277648,2620,0,146,2025-06-06,N,Ages And Ages,1,13100,5,2014,spring
MAqIrCjOxws,469405,12425,0,306,2025-06-06,N,Agnes Obel,1,447000,2,2017,winter
XgYT7zB3w5M,766746,10257,0,621,2025-06-06,N,Aimee Mann,1,34300,5,2017,spring
_Y-X9CpSiQ0,229492,7579,0,299,2025-06-06,N,Aja Monet,1,4580,12,2023,winter
cMW779WaDXs,212829,4278,0,289,2025-06-06,N,Alana Springsteen,1,62000,8,2024,summer
kc2i9pwSSqE,513310,7148,0,283,2025-06-06,N,Albin Lee Meldau,1,28400,8,2017,summer
U6ToeaeuOQo,901872,16022,0,1046,2025-06-06,N,Aldous Harding,1,77300,8,2017,summer
XG_o-sGQ3xo,21159,973,0,14,2025-06-06,N,Alec Ounsworth,1,8030,3,2010,spring
YxUaLKJ_978,121360,1629,0,123,2025-06-06,N,Alejandro Escovedo,1,2490,3,2019,spring
bmWBDs-5z3c,53033,1067,0,29,2025-06-06,N,Alessio Bax,1,590,6,2016,summer
Y2N9R9CDEZk,298698,6142,0,259,2025-06-06,N,Alex Clare,1,302000,3,2018,spring
A3ThZptD8WY,473995,10858,0,312,2025-06-06,N,Alex Cuba,1,98700,10,2023,autumn
qyPquozbCOQ,1352538,46137,0,1390,2025-06-06,N,Alex G,1,360000,12,2022,winter
qOxCOMtJbC8,602321,14307,0,637,2025-06-06,N,Alfredo Rodríguez Trio,1,52300,10,2018,autumn
5xNy40dQCNQ,112611,1784,0,89,2025-06-06,N,Alice Russell,1,15400,7,2013,summer
-XppUz4SkLk,477363,13496,0,559,2025-06-06,N,Alice Sara Ott,1,37100,7,2023,summer
-ZOW4CvYAZ4,346290,8912,0,516,2025-06-06,N,Alice Smith,1,21900,2,2018,winter
uwUt1fVLb3E,42810496,521993,0,15177,2025-06-06,N,Alicia Keys,1,6970000,6,2020,summer
kuiQ5tt0iI8,68698,692,0,56,2025-06-06,N,Alisa Weilerstein,1,1530,9,2010,autumn
uMEnML6sY5Q,1745815,42890,0,2200,2025-06-06,N,Allen Stone,1,353000,4,2020,spring
5M9EJOTekxA,95371,1756,0,55,2025-06-06,N,Allison Miller's Boom Tic Boom,1,1090,6,2012,summer
Ffs7szmBmCU,358502,9540,0,548,2025-06-06,N,Allison Russell,1,24600,9,2022,autumn
ukz2JXvGR5w,205477,2805,0,113,2025-06-06,N,Alpine,1,2560,8,2013,summer
daXGLo4aeFQ,232679,4253,0,189,2025-06-06,N,Alsarah & The Nubatones,1,3870,12,2016,winter
xKdp5uI8AC0,4819069,44353,0,1119,2025-06-06,N,Alt-J,1,1210000,12,2012,winter
RBRQ8vR93_s,639597,19939,0,800,2025-06-06,N,Alvvays,1,134000,12,2023,winter
gGyP2VGUQMY,616555,30779,0,992,2025-06-06,N,Amaarae,1,423000,6,2023,summer
hcAKsXR51HQ,340959,6935,0,300,2025-06-06,N,Amadou and Mariam,1,110000,1,2018,winter
LRix5o2-fiU,156477,3671,0,163,2025-06-06,N,Amanda Palmer And The Grand Theft Orchestra,1,155000,10,2012,autumn
ybBK0N0mCl4,235235,2242,0,115,2025-06-06,N,Amanda Shires,1,32900,8,2011,summer
kjJnal0XtN8,297574,13445,0,684,2025-06-06,N,Ambré,1,45700,6,2023,summer
XjCGI4Sgb7k,878206,20171,0,772,2025-06-06,N,American Football,1,42100,7,2019,summer
l0MqlDbZ_as,8569417,171162,0,3871,2025-06-06,N,Aminé,1,1960000,11,2017,autumn
j0uhEHIU6Sk,156433,3010,0,340,2025-06-06,N,Among Authors,1,393,8,2019,summer
DcnMDkX1PZg,239550,5174,0,213,2025-06-06,N,Amy Grant,1,247000,12,2018,winter
jsCO_M0Nnwk,191881,5264,0,223,2025-06-06,N,Ana Tijoux,1,120000,8,2010,summer
5G6q__7jQoU,838926,36237,0,1954,2025-06-06,N,Ana Tijoux,2,120000,5,2024,spring
Shr47LVcA5I,682764,7735,0,414,2025-06-06,N,Anais Mitchell,1,10700,12,2012,winter
qM1Mtz35bmU,188658,2436,0,160,2025-06-06,N,And The Kids,1,644,6,2015,summer
ferZnZ0_rSM,116381983,1113722,0,26689,2025-06-06,N,Anderson .Paak & The Free Nationals,1,874000,8,2016,summer
W3MaEAhXESs,1238206,22762,0,787,2025-06-06,N,Andra Day,1,1e+06,10,2015,autumn
HN4Mk3LWWC4,113645,2040,0,114,2025-06-06,N,Andrea Cruz,1,2140,4,2019,spring
QGAzPtwUJJU,5633354,73189,0,2072,2025-06-06,N,Andrew Bird,1,111000,5,2016,spring
WVfbIWC7wmE,937775,23734,0,700,2025-06-06,N,Andrew Bird and Iron & Wine,1,111000,8,2022,summer
JsaqhRkKu1M,110263,1668,0,67,2025-06-06,N,Andrew Combs,1,465,3,2023,spring
QcGs8rBynL0,995431,22769,0,813,2025-06-06,N,Andy Shauf,1,12700,5,2016,spring
UaTONcmNotI,240553,3361,0,129,2025-06-06,N,Ane Brun,1,98000,4,2016,spring
G7NapIZ1xGE,2234793,28490,0,1275,2025-06-06,N,Angel Olsen,1,84000,1,2014,winter
JQTM86SZW2g,244714,3787,0,208,2025-06-06,N,Angelica Garcia,1,5700,4,2020,spring
7rzGNL28Js0,325926,13186,0,589,2025-06-06,N,Angélique Kidjo,1,232000,9,2022,autumn
T7xWl50pKyo,392038,6108,0,466,2025-06-06,N,Ani DiFranco,1,20000,11,2017,autumn
mA3Qw3KiEtk,168973,3131,0,109,2025-06-06,N,Anna & Elizabeth,1,1900,6,2015,summer
EScw2XrUHFY,498042,4741,0,274,2025-06-06,N,Anna Calvi,1,33400,2,2012,winter
36FNJiP8GWk,260047,4793,0,400,2025-06-06,N,Anna Meredith,1,6930,3,2018,spring
6bALUVyGZh0,167405,3310,0,196,2025-06-06,N,Anna Tivel,1,1780,5,2023,spring
bRq66Rtwms0,359116,12490,0,431,2025-06-06,N,Anne Akiko Meyers,1,1700,9,2023,autumn
RWQChDfEJpI,118890,1680,0,26,2025-06-06,N,Anonymous 4 With Bruce Molsky,1,6600,3,2015,spring
oi0uBhX9fxI,123531,2656,0,189,2025-06-06,N,Another Sky,1,5230,2,2020,winter
LiGTTICtewQ,179743,1788,0,44,2025-06-06,N,Anthony D'Amato,1,1160,10,2014,autumn
C3lcprigQ0E,18535708,203489,0,7849,2025-06-06,N,Anthony Hamilton,1,889000,3,2016,spring
ZLqXimltxsg,104332,1512,0,176,2025-06-06,N,Anthony Roth Costanzo,1,2960,9,2018,autumn
IIlgjOCxhLQ,186657,2288,0,101,2025-06-06,N,Antibalas,1,4590,10,2012,autumn
3WocuIycshM,164678,5596,0,139,2025-06-06,N,Antonio Lizana,1,3190,5,2017,spring
Qafq8drD_L4,186859,4403,0,208,2025-06-06,N,Antonio Sánchez & Bad Hombre,1,40700,3,2023,spring
7c_KKh1rmso,51397,571,0,20,2025-06-06,N,Arborea,1,593,5,2012,spring
D7Ti9DRLZEU,5567531,114987,0,4520,2025-06-06,N,Ari Lennox,1,719000,10,2019,autumn
